id,title,description,latitude,longitude,city,region,postal_code,department,country,category,max_distance_in_meters
75d50fbf-1c11-4071-955d-fe0e6c772235,Prestataire 0,"Découvrez des expériences interactives et captivantes où chaque activité est une aventure singulière, plongeant les participants dans un univers de mystère et de défi. Des spécialistes créent des événements où les participants deviennent les protagonistes de leur propre récit. Les animateurs, véritables experts en animation et en improvisation, accompagnent les participants à travers les défis, garantissant une expérience fluide et engageante. Leur rôle est crucial pour maintenir l'ambiance et l'immersion, tout en s'assurant du bon déroulement de l'événement.",48.4094449,2.7057997,Fontainebleau,Île-de-France,77300,Seine-et-Marne,France,ACTIVITY,100000.0
19882a27-cc22-4726-8c1d-4471694b59e2,Prestataire 1,,49.49494900000001,2.531651,Léglantiers,Hauts-de-France,60420,Oise,France,TRANSPORT,100000.0
9068435e-b139-4d79-a40b-911207e27aad,Prestataire 2,,49.2295119,0.2461051,Saint-Philbert-des-Champs,Normandie,14130,Calvados,France,TRANSPORT,100000.0
ef3e2dc1-87a2-4300-9c4c-84c796be688f,Prestataire 3,,48.1715579,2.2565643,Pithiviers,Centre-Val de Loire,45300,Loiret,France,RESTAURATION,30000.0
81d663c2-161e-4b97-83d1-156b631bb3cf,Prestataire 4,,43.2969255,5.3738966,Marseille,Provence-Alpes-Côte d'Azur,13001,Bouches-du-Rhône,France,ACTIVITY,250000.0
19d32a19-f495-460a-a713-71388fd7af3e,Prestataire 5,"Cette agence propose depuis plusieurs années des services artistiques personnalisés, en collaboration avec divers artistes aux univers variés. L'équipe experte en gestion de projets d'arts urbains accompagne les clients de la conception à la réalisation de leurs événements. L'espace est un lieu dynamique favorisant les rencontres et l'échange, avec un accent sur la créativité. 

1. Direction artistique 
   Comprendre l'objectif et le concept de l'événement est essentiel pour conseiller le choix d'une prestation artistique. Spécialistes dans la gestion de projets, l'agence conseille et coordonne chaque étape du projet, en apportant des solutions créatives adaptées. 

2. Réalisation de prestations événementielles 
   Les artistes interviennent en direct et proposent des prestations dynamiques et interactives : personnalisation de produits, peinture en direct, création de fresques participatives. L'agence gère toutes les étapes de réalisation : du choix du support à la création en direct lors de l'événement. 

3. Création de supports visuels 
   L'agence se consacre à la conception d'identités visuelles sur mesure pour les événements. Grâce à ses compétences artistiques et à la diversité de ses artistes, elle propose des créations graphiques pour le packaging ou des supports de communication digitale.",48.8288931,2.332853999999999,Paris,Île-de-France,75014,Département de Paris,France,ACTIVITY,1500000.0
641bf731-c2fb-42a7-864a-b014f9873a54,Prestataire 6,,48.1789202,2.8295351,Chaintreaux,Île-de-France,77460,Seine-et-Marne,France,TRANSPORT,100000.0
7ef08b6f-2164-428e-b097-4bf4279cbe6d,Prestataire 7,"Une équipe dédiée à la réussite de votre événement, spécialisée dans la création de mets locaux et personnalisés, s'engage à répondre à toutes vos demandes. Que vous soyez un couple sur le point de se marier, des amis, des employés ou des chefs d'entreprise, l'organisation de votre événement est prise en main avec soin. Ce service de traiteur personnalisé vous accompagne dans le choix de vos plats selon vos envies. Une équipe commerciale est disponible pour vous guider à chaque étape, en vous conseillant et en adaptant le menu ainsi que l'organisation de l'événement pour atteindre la réception souhaitée.",44.1837569,0.6157594,Agen,Nouvelle-Aquitaine,47000,Lot-et-Garonne,France,RESTAURATION,30000.0
87f84b65-8698-4934-87e5-80d1ca0e5770,Prestataire 8,"Un programme axé sur le développement des compétences en soft skills, inspiré par des athlètes de haut niveau. Les participants peuvent apprendre à travers des expériences pratiques et des ateliers dirigés par des experts dans divers sports. Les thèmes abordés incluent la polyvalence, la gestion du stress, la cohésion d'équipe, et la prise de décision, chacun étant illustré par des exemples concrets de champions dans leur domaine.",48.8438176,2.2945224,Paris,Île-de-France,75015,Département de Paris,France,ACTIVITY,150000.0
f049f9e9-3693-4110-9c71-d0f75df4ab3b,Prestataire 9,"Si vous recherchez un prestataire de services de restauration fiable, compétent et innovant, un traiteur de la région est celui qu'il vous faut ! Passionné par ce métier depuis mon enfance, je suis motivé par l'envie de satisfaire les clients. La créativité et l'originalité sont mes principales sources d'inspiration.",43.051963,2.6625009,Talairan,Occitanie,11220,Aude,France,RESTAURATION,30000.0
