id,budget,brief
9ba04d62-8210-4bb9-b68f-dea56a897c5e,10000.0,"Événement avec 24 participants, prévu du 14 au 16 juin, axé sur des activités de team building, budget de 10 000€ HT."
4765ac89-8b4f-4bc8-bb95-aa16a2d1e6ce,2000.0,"Événement pour 7 participants avec hébergement minimum de 7 chambres. Dates : 11 au 12 mai avec possibilité d'enregistrement anticipé et de départ tardif. Lieu proche de Paris, dans les départements 78 ou 92. Comprend 1 dîner, 2 déjeuners et 1 petit-déjeuner. L'espace est privatisé et équipé de wifi ainsi que d'espaces de travail. Budget total : 1.400€."
df7500a9-3c09-4a52-948d-4ab769564672,2250.0,"Événement pour 15 participants avec un minimum de 8 chambres. Dates : 22 au 23 juin, arrivée le matin et départ l'après-midi. Lieu situé à 2h30 de Paris en voiture. Comprend un dîner, deux déjeuners et un petit-déjeuner. Activités de team building prévues."
4dc5ef61-905b-4ae7-a384-d2a74e827840,4000.0,"Événement pour 20-25 participants avec hébergement en chambres partagées. Dates : du 30 juin au soir au 2 juillet matin, à moins de 2h de Paris. Comprend la livraison de courses à domicile, privatisation du lieu, et activités sur place telles que piscine et terrain de pétanque. Aucun travail prévu. Budget de 150-170€ par personne au total, avec un coût de 1000€ par nuit ou 2000€ pour 2 nuits."
bbca793f-8332-4f35-9b13-81feaf0848bb,3500.0,"Événement avec 20 participants, chambres partagées et lits individuels. Prévu du vendredi 9 juin à 15h jusqu'au samedi 10 juin à 21h en Île-de-France avec pass navigo. Repas simples avec livraison de courses à domicile. Lieu privatisé. Activités gérées par le client. Aucun travail prévu. Budget de 3200€ incluant hébergement, courses et transports du dernier kilomètre."
f2d00374-458a-4454-a77b-c686f72fdb75,5000.0,"Événement pour 19 participants avec un minimum de 10 chambres. Dates : du 31 mai au 01 juin, arrivée l'après-midi et départ vers 15h. Lieu : à maximum 1h de La Défense en voiture, dans un cadre verdoyant. Restauration incluse : 1 dîner, 2 déjeuners, 1 petit-déjeuner et des collations. L'espace est privatisé. Activités prévues : randonnée. Équipements : salle de réunion et wifi performant. Budget alloué : 5 000€ HT."
1b658104-7b35-4c61-ad19-e7a7ee1a2017,9000.0,"Événement pour 30 participants avec hébergement en chambres partagées, prévu du 5 au 7 juillet en Île-de-France. Accès via un pass Navigo, sans taxi à l'arrivée. Comprend 2 dîners, 2 déjeuners et 2 petits-déjeuners avec des options vegan, cuisine équipée avec courses livrées. Lieu privatisé avec wifi et espaces de travail. Activité de team building éco-responsable le vendredi matin, axée sur une balade collective dans la nature. Budget maximum de 300€."
b031d2b4-a0e3-4f3a-bf78-40c253e42e05,2500.0,"Événement pour un groupe de 30 participants, avec un besoin d'au moins 10 chambres. Dates prévues du 18 au 19 juillet, à une distance maximale de 2 heures de Paris. Lieu entièrement privatisé avec des activités à explorer. Aucun accès au wifi ni espaces de travail disponibles. Budget idéal de 2500€ HT."
7d3a1d13-e89c-4c17-b448-9e3f417c3e07,10000.0,"Événement pour 30 participants en Normandie, du 21 au 23 juin. Lieu privatisé avec piscine, dans un cadre naturel et cosy. Prévoir des petits-déjeuners et une soirée détente sans activités imposées, mais avec des options simples. Activités à suggérer telles que le sport, la randonnée ou le char à voile. Nécessité d'un projecteur ou d'une télévision. Participants autonomes en véhicule personnel."
03a50196-7f25-42ea-bfa1-c0e011ff9ece,0.0,"Demande de deux événements avec des participants et des chambres spécifiques. Le premier événement nécessite 7 participants avec des chambres privatives pour 3 jours, sans dates fixées, dans n'importe quelle région de France, avec un traiteur pour les repas et des activités de plein air. Le deuxième événement concerne 11 participants, avec des besoins similaires, s'étalant du dimanche soir au vendredi matin, dans une localisation également flexible. Les deux événements requièrent un bon accès à Internet et des espaces de travail adaptés."
cb3de13b-0223-4d9b-84d7-382c9cb9def1,3500.0,"Événement avec 9 participants et 9 chambres individuelles prévu du 04 au 05 juillet 2023, avec une arrivée à 10h et un départ à 17h. Localisation souhaitée en Bretagne ou en Île-de-France. Comprend un dîner, deux déjeuners, un petit déjeuner et deux collations. Privatisation souhaitée si possible. Une activité de dégustation de vin est prévue. Besoin de wifi et d'espaces de travail, incluant une salle de réunion, un projecteur et un écran."
75a25acc-0997-472c-acef-157ce9f8ca57,1700.0,"Groupe de 14-15 participants recherchant un hébergement privatisé dans un manoir ou château dans le nord de la France, avec des dates possibles entre fin octobre et début novembre. Gestion libre des repas et activités en autonomie, avec un budget maximum de 1500-1700€."
d5057ebc-5582-4b91-9bdc-106747fe5993,10000.0,"Événement avec 20 participants, se déroulant à Deauville du 19 au 21 juin. Comprend des repas et des pauses pendant les interventions, ainsi qu'un espace de travail. Prévoir 3 activités, telles que le char à voile et la mixologie."
d055c721-a9aa-48e9-8054-da0593bf461a,21000.0,"Événement pour 35 participants avec 20 chambres, prévu du 27 au 29 septembre 2023, comprenant une arrivée anticipée le matin et un départ tardif l'après-midi. Lieu situé à la montagne, privatisé pour l'occasion, avec une option de restauration à prévoir et des activités de team building assez dynamiques."
